City,State,Country,Primary Entity,Other Entities,Entity Type,"Contents/Notes (keywords, event, important names)",Content Type,Publication,Vol #,Issue #,Month,Year,ID,concat_key,Longitude,Latitude
Brooklyn,NY,United States,Lesbian support group,Marge and Marlene,Community Space,Bits & Pieces; An informal group that meets out of Marge and Marlene's house.,Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Brooklyn_NY_United States,-73.949721,40.6526006
Milwaukee,WI,United States,Our Space,,Community Space,Bits & Pieces; Lesbian group that discusses a different topic monthly at the Counseling center.,Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Milwaukee_WI_United States,-87.922497,43.0349931
Santa Barbara,CA,United States,,,Contact Dyke Directory,"mutual aid(?); community help; travel aid; ""Contact Dykes""",Directory,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A804bdd737db80c748974394df88a950f,Santa Barbara_CA_United States,-119.70267,34.4221319
Largo,FL,United States,,,Contact Dyke Directory,"mutual aid(?); community help; travel aid; ""Contact Dykes""",Directory,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b10,Largo_FL_United States,-82.787324,27.9094665
Burlington,IA,United States,,,Contact Dyke Directory,"mutual aid(?); community help; travel aid; ""Contact Dykes""",Directory,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A804bdd737db80c748974394df88a950f,Burlington_IA_United States,-91.102021,40.8126922
Lexington,KY,United States,,,Contact Dyke Directory,"mutual aid(?); community help; travel aid; ""Contact Dykes""",Directory,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b11,Lexington_KY_United States,-84.497039,38.0464066
Mankato,MN,United States,,,Contact Dyke Directory,"mutual aid(?); community help; travel aid; ""Contact Dykes""",Directory,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A804bdd737db80c748974394df88a950f,Mankato_MN_United States,-93.999351,44.1634663
Missoula,MT,United States,,,Contact Dyke Directory,"mutual aid(?); community help; travel aid; ""Contact Dykes""",Directory,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b12,Missoula_MT_United States,-113.99527,46.8701049
Chapel Hill,NC,United States,,,Contact Dyke Directory,"mutual aid(?); community help; travel aid; ""Contact Dykes""",Directory,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b13,Chapel Hill_NC_United States,-79.05578,35.9131542
Rochester,NY,United States,,,Contact Dyke Directory,"mutual aid(?); community help; travel aid; ""Contact Dykes""",Directory,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A804bdd737db80c748974394df88a950f,Rochester_NY_United States,-77.615214,43.157285
New York,NY,United States,,,Contact Dyke Directory,"mutual aid(?); community help; travel aid; ""Contact Dykes""",Directory,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b14,New York_NY_United States,-74.006015,40.7127281
Eugene,OR,United States,,,Contact Dyke Directory,"mutual aid(?); community help; travel aid; ""Contact Dykes""",Directory,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A804bdd737db80c748974394df88a950f,Eugene_OR_United States,-123.09505,44.0505054
Portland,OR,United States,,,Contact Dyke Directory,"mutual aid(?); community help; travel aid; ""Contact Dykes""; recently relocated",Directory,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A804bdd737db80c748974394df88a950f,Portland_OR_United States,-122.67419,45.5202471
Eugene,OR,United States,,,Contact Dyke Directory,"mutual aid(?); community help; travel aid; ""Contact Dykes""; recently relocated",Directory,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b15,Eugene_OR_United States,-123.09505,44.0505054
Anchorage,AK,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Anchorage_AK_United States,-149.89485,61.2163129
Phoenix,AZ,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Phoenix_AZ_United States,-112.07414,33.4484367
North Hollywood,CA,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,North Hollywood_CA_United States,-118.37404,34.1729044
San Francisco,CA,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,San Francisco_CA_United States,-122.41991,37.7790262
Blue Lake,CA,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Blue Lake_CA_United States,-123.98744,40.8814695
Davis,CA,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Davis_CA_United States,-121.74458,38.545379
Colorado Springs,CO,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Colorado Springs_CO_United States,-104.82535,38.8339578
Naugatuck,CT,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Naugatuck_CT_United States,-73.050943,41.4860186
Gainesville,FL,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Gainesville_FL_United States,-82.324985,29.6519684
Decatur,GA,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Decatur_GA_United States,-84.574095,30.8736613
Atlanta,GA,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Atlanta_GA_United States,-84.390264,33.7489924
Iowa City,IA,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Iowa City_IA_United States,-91.529911,41.6612561
Sandwich,IL,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Sandwich_IL_United States,-88.621743,41.6458633
Chicago,IL,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Chicago_IL_United States,-87.624421,41.8755616
Chicago,IL,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Chicago_IL_United States,-87.624421,41.8755616
Granite City,IL,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Granite City_IL_United States,-90.14872,38.7014389
Carbondale,IL,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Carbondale_IL_United States,-89.216655,37.7274692
Springfield,IL,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Springfield_IL_United States,-89.643958,39.7990175
Bristol,IN,United States,,,Contact Dyke Directory,community network; mutual aid; travel; includes request for discretion,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Bristol_IN_United States,-85.817536,41.7214415
Evansville,IN,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Evansville_IN_United States,-87.555848,37.9747645
Lexington,KY,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Lexington_KY_United States,-84.497039,38.0464066
Yosemite,KY,United States,,,Contact Dyke Directory,community network; mutual aid; travel; includes request for discretion,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Yosemite_KY_United States,-84.824672,37.346742
New Orleans,LA,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,New Orleans_LA_United States,-90.078213,29.9759983
Northampton,MA,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Northampton_MA_United States,-72.631101,42.3178989
Jamaica Plain,MA,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Jamaica Plain_MA_United States,-71.114384,42.3116046
Cambridge,MA,United States,,,Contact Dyke Directory,community network; mutual aid; travel,Directory,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Cambridge_MA_United States,-71.105616,42.3750997
