"geocode.value","lat","lon","damron_percent","gaia_percent","damron_ratio","gaia_ratio","ratio","log_ratio"
"Ithaca, NY",42.4439614,-76.5018807,0.0684410646387833,0.319322738749443,0.214331948006013,4.66566001617242,0.214331948006013,-1.54022930685803
"Brattleboro, VT",42.8509152,-72.5578678,0.0190114068441065,0.089113322441705,0.213339670468949,4.68736076043367,0.213339670468949,-1.54486968641453
"Culver City, CA",34.0211224,-118.3964665,0.0190114068441065,0.089113322441705,0.213339670468949,4.68736076043367,0.213339670468949,-1.54486968641453
"Helena, MT",46.5891452,-112.0391057,0.0190114068441065,0.089113322441705,0.213339670468949,4.68736076043367,0.213339670468949,-1.54486968641453
"Woodstock, NY",42.0409247,-74.1181971,0.026615969581749,0.133669983662558,0.199117025771017,5.02217224332183,0.199117025771017,-1.61386255790149
"Concord, NH",43.2081366,-71.5375718,0.0228136882129278,0.133669983662558,0.170671736375158,5.85920095054211,0.170671736375158,-1.76801323772874
"Honolulu, HI",21.3098845,-157.8581401,0.0760456273764259,0.490123273429378,0.155156123977417,6.44512104559632,0.155156123977417,-1.86332341753306
"Paterson, NJ",40.9167654,-74.171811,0.0228136882129278,0.148522204069508,0.153604562737643,6.51022327838009,0.153604562737643,-1.87337375338656
"Dunedin, FL",28.0197404,-82.7717684,0.0152091254752852,0.103965542848656,0.146290059750136,6.83573444229912,0.146290059750136,-1.922163917556
"Berkeley, CA",37.8715226,-122.273042,0.0684410646387833,0.504975493836329,0.135533437709685,7.3782530488308,0.135533437709685,-1.99853689634057
"Cambridge, MA",42.3736158,-71.1097335,0.0950570342205323,0.71290657953364,0.133337294043093,7.4997772166939,0.133337294043093,-2.01487331566027
"Eugene, OR",44.0520691,-123.0867536,0.114068441064639,0.883707114213575,0.129079464485414,7.74716570127233,0.129079464485414,-2.04732706051
"Danbury, CT",41.394817,-73.4540111,0.00760456273764259,0.0816872122382296,0.0930936743864501,10.7418684093272,0.0930936743864501,-2.37414904129905
"Olympia, WA",47.0378741,-122.9006951,0.0114068441064639,0.126243873459082,0.09035562513979,11.0673795732462,0.09035562513979,-2.40400200444873
"Amherst, MA",42.3732216,-72.5198537,0.0152091254752852,0.207931085697312,0.073145029875068,13.6714688845982,0.073145029875068,-2.61531109811594
"Yellow Springs, OH",39.8064486,-83.886874,0.00760456273764259,0.118817763255607,0.0640019011406843,15.6245358681123,0.0640019011406843,-2.74884249074047
"Northampton, MA",42.3250896,-72.6412013,0.00380228136882129,0.237635526511213,0.0160004752851711,62.4981434724491,0.0160004752851711,-4.13513685186035
