"type","count"
"Hotel,Cruising Areas",31
"Hotel,Cruising Areas,Bathhouses",2
"Hotel,Cruising Areas,Baths",1
"Hotel,Cruising Areas,Restaurant",2
"Hotel,Erotic Shop",1
"Hotel,Gym",14
"Hotel,Gym,Bathhouses",1
"Hotel,Gym,Cruising Areas",4
"Hotel,Gym,Travel Service",1
"Hotel,Organizations",6
"Hotel,Religious Institution,Bars/Clubs,Restaurant",1
"Hotel,Restaurant",158
"Hotel,Restaurant,Bars/Clubs",44
"Hotel,Restaurant,Bathhouses",2
"Hotel,Restaurant,Baths",1
"Hotel,Restaurant,Business",1
"Hotel,Restaurant,Cruising Areas",3
"Hotel,Restaurant,Cruising Areas,Bars/Clubs",1
"Hotel,Restaurant,Gym",4
"Hotel,Restaurant,Gym,Bathhouses",1
"Hotel,Restaurant,Travel Service",1
"Hotel,Theatre",2
"Hotel,Theatre,Business",1
"Hotel,Travel Agency",4
"Hotel,Travel Service",25
"Hotel,Travel Service,Bars/Clubs",1
"Hotel,Travel Service,Restaurant",1
"Hotel-Restaurant-Disco",1
"Hotel/Bar",7
"Hotel/Bar/Restaurant",3
"Hotel/Gay Complex",1
"Hotel/Motel",22
"Hotel/Private Disco CLub",1
"Hotel/Private Disco Club",1
"Hotel/Resort",2
"Hotel/Resort/Disco",1
"Hotels",93
"Hotels / Guest Houses, etc",2
"Hotels / Motels / Guest Houses / B&B, etc.",15
"Hotels,Bars/Clubs",5
"Hotels,Bars/Clubs,Restaurant",1
"Hotels,Restaurant",3
"Hotels,Restaurant,Bars/Clubs",3
"Hotels/Guest Houses,etc",4
"Hotels/Motels",2
"Hotels/Motels/Guest Houses",38
"Hotels/Motels/Guest Houses Etc.",44
"Hotels/Motels/Guest Houses/Bed and Breakfast, etc",1
"Hotels/Motels/Guest Houses/ETC",56
"Hotels/Motels/Guest Houses/Resorts",1
"Hotels/Motels/Guesthouses",23
"Hotline",365
"Hotline,Community Center/ Support Group",1
"Hotline,Community Center/Support Group",6
"Hotline,Organization",1
"Hotline,Religious Institution",5
"Hotlines",187
"Hotlines / Emergency Services for Women",3
"Hotlines,Community Center/Support Group",3
"Hotlines,Organization",3
"Hotlines,Publication",1
"Hotlines,Religious Institution",2
"Hotlines/Emergency Services For Women",3
"Housing Project",1
"Ice Cream Parlor",1
"Ice Cream Parlour",2
"Ice Cream Shop",4
"Info Lines & Services",10515
"Info Lines & Services,Accommodations",2
"Info Services",1
"Information & Victim-Emergency Services",5
"Information Center",1
"Information Services",113
"Information and Emergency Services",5
"Inn",5
"Insurance",3
"Insurance Agent",1
"Introduction Services",4
"Jeweler",1
"Jewellery",1
"Jewelry",6
"Jewelry/Crafts",7
"Kennels",1
"Land Retreat",1
"Land Trust",6
"Lawyer",4
"Lawyers",1
"Lawyers Assocation",1
"Leather Sandals",1
"Legal Aid",2
"Legal Clinic",1
"Lesbian / Feminist Mail Order Service",1
"Lesbian / Gay Bookstore",4
"Lesbian / Gay Center",1
"Lesbian / Gay Coffeehouse Night",1
"Lesbian / Gay Community Center",3
"Lesbian / Gay Ice Cream Parlor",1
"Lesbian / Gay Library",1
"Lesbian / Gay Luxury Cabins-Resort",1
"Lesbian / Gay Social and Political Group",1
"Lesbian / Gay Student Organization",1
"Lesbian AA",2
"Lesbian Accountants",1
"Lesbian Books Mail Order Service",1
"Lesbian Bookstore",2
"Lesbian Campgrounds",1
"Lesbian Center",7
"Lesbian Entertainment Complex",1
"Lesbian Feminist Counseling / Therapy",1
"Lesbian Feminist Theater Group",1
"Lesbian Group",13
"Lesbian Land",2
"Lesbian Library",2
"Lesbian Mothers",8
"Lesbian Mothers Organization ",1
"Lesbian Network",1
"Lesbian Organization",3
"Lesbian Photographers",2
"Lesbian Resort",1
"Lesbian Resource Center",1
"Lesbian Service Organization",1
"Lesbian Social Club",3
"Lesbian Social Group",5
"Lesbian Social Organization",1
"Lesbian Space",2
"Lesbian/Gay Personal Ads Newsletter",1
"Lesbian/Gay Service Center",1
"Library",7
"Library/Archives/Research Facility",1
"Literary Group",1
"Lodge",5
"Lodge/Disco/Restaurant ",1
"Magazine",5
"Mail Order",4
"Mail Order ",1
"Martial Arts",7
